"시점","동별(1)","동별(2)",구분별(1),구분별(2),데이터
"2024 2/4","합계","서대문구",등록외국인 (명),남자,4469
"2024 2/4","합계","서대문구",등록외국인 (명),여자,10172
"2024 2/4","합계","서대문구",세대당인구 (명),소계,2.07
"2024 2/4","합계","서대문구",65세이상고령자 (명),소계,59275
"2024 2/4","합계","마포구",세대 (세대),소계,181651
"2024 2/4","합계","마포구",계 (명),소계,373980
"2024 2/4","합계","마포구",계 (명),남자,173121
"2024 2/4","합계","마포구",계 (명),여자,200859
"2024 2/4","합계","마포구",한국인 (명),소계,363029
"2024 2/4","합계","마포구",한국인 (명),남자,169292
"2024 2/4","합계","마포구",한국인 (명),여자,193737
"2024 2/4","합계","마포구",등록외국인 (명),소계,10951
"2024 2/4","합계","마포구",등록외국인 (명),남자,3829
"2024 2/4","합계","마포구",등록외국인 (명),여자,7122
"2024 2/4","합계","마포구",세대당인구 (명),소계,2.00
"2024 2/4","합계","마포구",65세이상고령자 (명),소계,59004
"2024 2/4","합계","양천구",세대 (세대),소계,180679
"2024 2/4","합계","양천구",계 (명),소계,436595
"2024 2/4","합계","양천구",계 (명),남자,212591
"2024 2/4","합계","양천구",계 (명),여자,224004
"2024 2/4","합계","양천구",한국인 (명),소계,433307
"2024 2/4","합계","양천구",한국인 (명),남자,211254
"2024 2/4","합계","양천구",한국인 (명),여자,222053
"2024 2/4","합계","양천구",등록외국인 (명),소계,3288
"2024 2/4","합계","양천구",등록외국인 (명),남자,1337
"2024 2/4","합계","양천구",등록외국인 (명),여자,1951
"2024 2/4","합계","양천구",세대당인구 (명),소계,2.40
"2024 2/4","합계","양천구",65세이상고령자 (명),소계,78399
"2024 2/4","합계","강서구",세대 (세대),소계,274010
"2024 2/4","합계","강서구",계 (명),소계,565133
"2024 2/4","합계","강서구",계 (명),남자,270394
"2024 2/4","합계","강서구",계 (명),여자,294739
"2024 2/4","합계","강서구",한국인 (명),소계,559335
"2024 2/4","합계","강서구",한국인 (명),남자,267927
"2024 2/4","합계","강서구",한국인 (명),여자,291408
"2024 2/4","합계","강서구",등록외국인 (명),소계,5798
"2024 2/4","합계","강서구",등록외국인 (명),남자,2467
"2024 2/4","합계","강서구",등록외국인 (명),여자,3331
"2024 2/4","합계","강서구",세대당인구 (명),소계,2.04
"2024 2/4","합계","강서구",65세이상고령자 (명),소계,105023
"2024 2/4","합계","구로구",세대 (세대),소계,184097
"2024 2/4","합계","구로구",계 (명),소계,413099
"2024 2/4","합계","구로구",계 (명),남자,203345
"2024 2/4","합계","구로구",계 (명),여자,209754
"2024 2/4","합계","구로구",한국인 (명),소계,390169
"2024 2/4","합계","구로구",한국인 (명),남자,191177
"2024 2/4","합계","구로구",한국인 (명),여자,198992
"2024 2/4","합계","구로구",등록외국인 (명),소계,22930
"2024 2/4","합계","구로구",등록외국인 (명),남자,12168
"2024 2/4","합계","구로구",등록외국인 (명),여자,10762
"2024 2/4","합계","구로구",세대당인구 (명),소계,2.12
"2024 2/4","합계","구로구",65세이상고령자 (명),소계,81973
"2024 2/4","합계","금천구",세대 (세대),소계,121223
"2024 2/4","합계","금천구",계 (명),소계,240153
"2024 2/4","합계","금천구",계 (명),남자,121075
"2024 2/4","합계","금천구",계 (명),여자,119078
"2024 2/4","합계","금천구",한국인 (명),소계,226672
"2024 2/4","합계","금천구",한국인 (명),남자,114031
"2024 2/4","합계","금천구",한국인 (명),여자,112641
"2024 2/4","합계","금천구",등록외국인 (명),소계,13481
"2024 2/4","합계","금천구",등록외국인 (명),남자,7044
